# In-plane momentum (1/um), PSD (a.u.)
2.362477675499524707e+02,6.621578350881019105e+03
2.375044046113883667e+02,6.291226130172082776e+03
2.387610416728242910e+02,6.445113490735675441e+03
2.400176787342601870e+02,6.162582307727748230e+03
2.412743157956961113e+02,6.131564749820722682e+03
2.425309528571320357e+02,6.320790887518292038e+03
2.437875899185679316e+02,6.139468818422768891e+03
2.450442269800038559e+02,6.021115573844759638e+03
2.463008640414397519e+02,5.875957946132438337e+03
2.475575011028756762e+02,5.277213110590763790e+03
2.488141381643116290e+02,5.137419207258171809e+03
2.500707752257475533e+02,4.916846843692097536e+03
2.513274122871834493e+02,4.624987997784195613e+03
2.525840493486193736e+02,4.339052243833260945e+03
2.538406864100552980e+02,4.252776831850894268e+03
2.550973234714911939e+02,3.941929025969080158e+03
2.563539605329270898e+02,3.631052567242684290e+03
2.576105975943630142e+02,3.487492827007044070e+03
2.588672346557989385e+02,3.238800920752526054e+03
2.601238717172348629e+02,3.312748582860532224e+03
2.613805087786707873e+02,3.287628094841813436e+03
2.626371458401067116e+02,3.346594914993453131e+03
2.638937829015426360e+02,3.495252786898162867e+03
2.651504199629785603e+02,3.349002633558979142e+03
2.664070570244144847e+02,3.667563880381334911e+03
2.676636940858503522e+02,3.753873375588148065e+03
2.689203311472862765e+02,3.869645556760872751e+03
2.701769682087222009e+02,4.083776655841599677e+03
2.714336052701581252e+02,4.288490179467018606e+03
2.726902423315940496e+02,4.472560835149783998e+03
2.739468793930299171e+02,4.579212594075273955e+03
2.752035164544658983e+02,4.867470957913657912e+03
2.764601535159018226e+02,4.812365927921107868e+03
2.777167905773377470e+02,4.713834286007259834e+03
2.789734276387736145e+02,5.099029330917121115e+03
2.802300647002095388e+02,4.885928126360688111e+03
2.814867017616454632e+02,4.930684930492480817e+03
2.827433388230813875e+02,5.042908387845588550e+03
2.839999758845173119e+02,4.866442433884129059e+03
2.852566129459531794e+02,4.664343895947888086e+03
2.865132500073891038e+02,4.684986449312563309e+03
2.877698870688250281e+02,4.480784817265261154e+03
2.890265241302610093e+02,4.443767096576231779e+03
2.902831611916968768e+02,4.240411269794598411e+03
2.915397982531328012e+02,4.040452437762866793e+03
2.927964353145687255e+02,3.721228404909982146e+03
2.940530723760046499e+02,3.557444967187481780e+03
2.953097094374405742e+02,3.459739216031528031e+03
2.965663464988764417e+02,3.154882116330943518e+03
2.978229835603123661e+02,2.978686833722003030e+03
2.990796206217482904e+02,2.901159589419694385e+03
3.003362576831842148e+02,2.761190140353576226e+03
3.015928947446201391e+02,2.598235490887576361e+03
3.028495318060560635e+02,2.677479187315727813e+03
3.041061688674919878e+02,2.607993580261751049e+03
3.053628059289279122e+02,2.672755810516463953e+03
3.066194429903638365e+02,2.715090427562704008e+03
3.078760800517997041e+02,2.924659104850499716e+03
3.091327171132356284e+02,2.993572494142660162e+03
3.103893541746715528e+02,3.122381913049087871e+03
3.116459912361074771e+02,3.315108862781588869e+03
3.129026282975434015e+02,3.445956930326540714e+03
3.141592653589792690e+02,3.542390506143964558e+03
3.154159024204152502e+02,3.709544535175454712e+03
3.166725394818511745e+02,3.803801730280986249e+03
3.179291765432870989e+02,3.794911188377116105e+03
3.191858136047229664e+02,3.966378576163821435e+03
