# In-plane momentum (1/um), PSD (a.u.)
2.176229083215181106e+02,1.598945556071707642e+03
2.180390133087485651e+02,1.697742488893693917e+03
2.184551182959789912e+02,1.734234100554278939e+03
2.188712232832094458e+02,1.742497258613106169e+03
2.192873282704398719e+02,1.795038121750822484e+03
2.197034332576703264e+02,1.797167529591840321e+03
2.201195382449007241e+02,1.868267472069131372e+03
2.205356432321311786e+02,1.849352728773409808e+03
2.209517482193616047e+02,1.820034290877351623e+03
2.213678532065920592e+02,1.817787220378197389e+03
2.217839581938224853e+02,1.788605937770018272e+03
2.222000631810529114e+02,1.830597915052311691e+03
2.226161681682833660e+02,1.745212401412431063e+03
2.230322731555137921e+02,1.726255518825463014e+03
2.234483781427442466e+02,1.728249401460664558e+03
2.238644831299746727e+02,1.638871560999850999e+03
2.242805881172050988e+02,1.552186066004810982e+03
2.246966931044355249e+02,1.508722283797200816e+03
2.251127980916659794e+02,1.428530035903629596e+03
2.255289030788964055e+02,1.401371878251488624e+03
2.259450080661268601e+02,1.314784613633007211e+03
2.263611130533572862e+02,1.214025901692223897e+03
2.267772180405877123e+02,1.135930074939753013e+03
2.271933230278181668e+02,1.060358795783374489e+03
2.276094280150485929e+02,9.641509721841234750e+02
2.280255330022790474e+02,8.750927331367656734e+02
2.284416379895094451e+02,7.710286395434735596e+02
2.288577429767398996e+02,6.723566581528405095e+02
2.292738479639703257e+02,5.612962365088415027e+02
2.296899529512007803e+02,4.726340855927565485e+02
2.301060579384312064e+02,3.680975581443945543e+02
2.305221629256616609e+02,2.615312894674113409e+02
2.309382679128920870e+02,1.913767547626072769e+02
